cycle,hit_rate,p_value,rank,fdr_threshold,significant
3,0.5914893617021276,3.781407129595329e-45,1,0.0025000000000000005,True
6,0.5964055479585857,9.12232159856251e-44,2,0.005000000000000001,True
2,0.5877264566672107,2.338382317876328e-43,3,0.0075,True
4,0.5906099946647697,1.6744388708035217e-42,4,0.010000000000000002,True
16,0.6322059953881629,4.08053343249803e-42,5,0.0125,True
1,0.5843137254901961,9.811495076130479e-42,6,0.015,True
5,0.5911375907652207,3.8582758151094783e-41,7,0.017499999999999998,True
15,0.6236860546601262,1.8512778853922858e-40,8,0.020000000000000004,True
7,0.5934675431388661,2.56038371062218e-39,9,0.022500000000000003,True
14,0.6155827430779137,1.665877938818298e-38,10,0.025,True
17,0.6276595744680851,9.622066594597797e-36,11,0.027500000000000004,True
13,0.6009529481834425,7.354550267741143e-32,12,0.03,True
11,0.5937823834196891,8.933449803523518e-32,13,0.0325,True
19,0.6336580086580087,4.268154844192775e-31,14,0.034999999999999996,True
12,0.5914634146341463,1.8736012857360426e-28,15,0.037500000000000006,True
18,0.6174368747022392,1.948201025167451e-27,16,0.04000000000000001,True
8,0.5765648689625298,1.11085319160665e-25,17,0.0425,True
10,0.5775778210116731,1.2163761129455539e-23,18,0.045000000000000005,True
20,0.6234335839598998,2.355840819114649e-23,19,0.0475,True
9,0.5311640696608616,2.034406736722811e-05,20,0.05,True
