scale,avg_rs,n_chunks
10,2.878983102932517,619
12,3.2454787708160513,515
15,3.760869101130452,412
18,4.209593408903587,343
22,4.686832029815691,281
27,5.320586580284087,229
34,5.938786978240876,182
42,6.7662675002069035,147
51,7.450120780930857,121
63,8.426547705296828,98
78,9.165061512671285,79
96,10.441143355994491,64
118,11.552295256727898,52
145,12.562024201014301,42
178,14.162873375855865,34
219,15.759559103580523,28
269,17.691503719237105,23
331,20.64063054520532,18
406,23.06802161215035,15
499,27.473265879354088,12
